1;Fulana de Tal;913.678.172-00;20000;2;2;1;24;2;2;10;10;10;10;3913;3102;689;0;0;0;0;689;0;0;0;0;1
2;Fulana de Tal;592.521.795-00;120000;2;2;2;26;10;2;11;11;11;2;2682;1725;2682;3272;3455;3261;0;1000;1000;1000;0;2000;1
3;Fulana de Tal;351.743.947-93;90000;2;2;2;34;11;11;11;11;11;11;29239;14027;13559;14331;14948;15549;1518;1500;1000;1000;1000;5000;0
4;Fulana de Tal;921.632.822-36;50000;2;2;1;37;11;11;11;11;11;11;46990;48233;49291;28314;28959;29547;2000;2019;1200;1100;1069;1000;0
5;Fulano de Tal;768.983.576-70;50000;1;2;1;57;10;11;10;11;11;11;8617;5670;35835;20940;19146;19131;2000;36681;10000;9000;689;679;0
6;Fulano de Tal;288.898.142-41;50000;1;1;2;37;11;11;11;11;11;11;64400;57069;57608;19394;19619;20024;2500;1815;657;1000;1000;800;0
7;Fulano de Tal;243.739.378-18;500000;1;1;2;29;11;11;11;11;11;11;367965;412023;445007;542653;483003;473944;55000;40000;38000;20239;13750;13770;0
8;Fulana de Tal;758.758.413-70;100000;2;2;2;23;11;10;10;11;11;10;11876;380;601;221;-159;567;380;601;0;581;1687;1542;0
9;Fulana de Tal;726.398.687-64;140000;2;3;1;28;11;11;2;11;11;11;11285;14096;12108;12211;11793;3719;3329;0;432;1000;1000;1000;0
10;Fulano de Tal;592.711.599-34;20000;1;3;2;35;10;10;10;10;10;10;0;0;0;0;13007;13912;0;0;0;13007;1122;0;0
11;Fulana de Tal;219.343.821-83;200000;2;3;2;34;11;11;2;11;11;10;11073;9787;5535;2513;1828;3731;2306;12;50;300;3738;66;0
12;Fulana de Tal;356.367.163-03;260000;2;1;2;51;10;10;10;10;10;2;12261;21670;9966;8517;22287;13668;21818;9966;8583;22301;0;3640;0
13;Fulana de Tal;227.499.244-48;630000;2;2;2;41;10;11;10;10;10;10;12137;6500;6500;6500;6500;2870;1000;6500;6500;6500;2870;0;0
14;Fulano de Tal;223.488.195-11;70000;1;2;2;30;1;2;2;11;11;2;65802;67369;65701;66782;36137;36894;3200;0;3000;3000;1500;0;1
15;Fulano de Tal;264.558.916-27;250000;1;1;2;29;11;11;11;11;11;11;70887;67060;63561;59696;56875;55512;3000;3000;3000;3000;3000;3000;0
16;Fulana de Tal;216.824.678-56;50000;2;3;3;23;1;2;11;11;11;11;50614;29173;28116;28771;29531;30211;0;1500;1100;1200;1300;1100;0
17;Fulano de Tal;566.611.141-85;20000;1;1;2;24;11;11;2;2;2;2;15376;18010;17428;18338;17905;19104;3200;0;1500;0;1650;0;1
18;Fulano de Tal;936.296.338-89;320000;1;1;1;49;11;11;11;10;10;10;253286;246536;194663;70074;5856;195599;10358;10000;75940;20000;195599;50000;0
19;Fulana de Tal;199.335.195-73;360000;2;1;1;49;1;10;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0
20;Fulana de Tal;893.392.825-15;180000;2;1;2;29;1;10;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Fulana de Tal;445.746.965-32;130000;2;3;2;39;11;11;11;11;11;10;38358;27688;24489;20616;11802;930;3000;1537;1000;2000;930;33764;0
22;Fulana de Tal;234.919.393-48;120000;2;2;1;39;10;10;10;10;10;10;316;316;316;0;632;316;316;316;0;632;316;0;1
23;Fulana de Tal;494.676.154-36;70000;2;2;2;26;2;11;11;2;2;2;41087;42445;45020;44006;46905;46012;2007;3582;0;3601;0;1820;1
24;Fulana de Tal;226.214.373-03;450000;2;1;1;40;10;10;10;10;10;10;5512;19420;1473;560;0;0;19428;1473;560;0;0;1128;1
25;Fulano de Tal;636.689.567-82;90000;1;1;2;23;11;11;11;10;11;11;4744;7070;0;5398;6360;8292;5757;0;5398;1200;2045;2000;0
26;Fulano de Tal;375.173.173-34;50000;1;3;2;23;11;11;11;11;11;11;47620;41810;36023;28967;29829;30046;1973;1426;1001;1432;1062;997;0
27;Fulano de Tal;146.265.642-08;60000;1;1;2;27;1;10;10;10;10;10;-109;-425;259;-57;127;-189;0;1000;0;500;0;1000;1
28;Fulana de Tal;695.535.593-79;50000;2;3;2;30;11;11;11;11;11;11;22541;16138;17163;17878;18931;19617;1300;1300;1000;1500;1000;1012;0
29;Fulana de Tal;818.482.583-80;50000;2;3;1;47;10;10;10;10;10;10;650;3415;3416;2040;30430;257;3415;3421;2044;30430;257;0;0
30;Fulano de Tal;645.215.783-30;50000;1;1;2;26;11;11;11;11;11;11;15329;16575;17496;17907;18375;11400;1500;1500;1000;1000;1600;0;0
31;Fulana de Tal;233.459.684-10;230000;2;1;2;27;10;10;10;10;10;10;16646;17265;13266;15339;14307;36923;17270;13281;15339;14307;37292;0;0
32;Fulano de Tal;651.699.222-30;50000;1;2;2;33;2;11;11;11;11;11;30518;29618;22102;22734;23217;23680;1718;1500;1000;1000;1000;716;1
33;Fulano de Tal;453.222.584-18;100000;1;1;2;32;11;11;11;11;11;11;93036;84071;82880;80958;78703;75589;3023;3511;3302;3204;3200;2504;0
34;Fulana de Tal;786.798.485-22;500000;2;2;1;54;10;10;10;10;10;10;10929;4152;22722;7521;71439;8981;4152;22827;7521;71439;981;51582;0
35;Fulano de Tal;265.754.867-97;500000;1;1;1;58;10;10;10;10;10;10;13709;5006;31130;3180;0;5293;5006;31178;3180;0;5293;768;0
36;Fulano de Tal;758.423.176-48;160000;1;1;2;30;10;10;10;10;10;10;30265;-131;-527;-923;-1488;-1884;131;396;396;565;792;0;0
37;Fulano de Tal;744.783.127-10;280000;1;2;1;40;11;11;11;11;11;11;186503;181328;180422;170410;173901;177413;8026;8060;6300;6400;6400;6737;0
38;Fulana de Tal;496.856.168-76;60000;2;2;2;22;11;11;11;11;11;10;15054;9806;11068;6026;-28335;18660;1500;1518;2043;0;47671;617;0
39;Fulano de Tal;971.421.643-52;50000;1;1;2;25;1;10;10;10;10;10;0;780;0;0;0;0;780;0;0;0;0;0;1
40;Fulano de Tal;989.576.866-49;280000;1;1;2;31;10;10;2;10;11;10;498;9075;4641;9976;17976;9477;9075;0;9976;8000;9525;781;0
41;Fulano de Tal;184.245.437-42;360000;1;1;2;33;11;11;11;11;11;11;218668;221296;206895;628699;195969;179224;10000;7000;6000;188840;28000;4000;0
42;Fulana de Tal;112.995.714-41;70000;2;1;2;25;11;11;11;11;11;11;67521;66999;63949;63699;64718;65970;3000;4500;4042;2500;2800;2500;0
43;Fulano de Tal;288.814.997-46;10000;1;2;2;22;11;11;11;11;11;11;1877;3184;6003;3576;3670;4451;1500;2927;1000;300;1000;500;0
